del_prop,prevlence,es,data,power
0.5,0.1,1.2,exome,0.0544395742016281
0.75,0.1,1.2,exome,0.113412022542267
1,0.1,1.2,exome,0.175641828428303
0.5,0.1,1.5,exome,0.278021289918597
0.75,0.1,1.5,exome,0.505948653725736
1,0.1,1.5,exome,0.684095178459612
0.5,0.1,1.8,exome,0.464934251721979
0.75,0.1,1.8,exome,0.686599874765185
1,0.1,1.8,exome,0.794927989981215
0.5,0.2,1.2,exome,0.0572573575453976
0.75,0.2,1.2,exome,0.11520663744521
1,0.2,1.2,exome,0.1944270507201
0.5,0.2,1.5,exome,0.28334376956794
0.75,0.2,1.5,exome,0.503757044458359
1,0.2,1.5,exome,0.681277395115842
0.5,0.2,1.8,exome,0.483093299937383
0.75,0.2,1.8,exome,0.685347526612398
1,0.2,1.8,exome,0.790857858484659
0.5,0.1,1.2,exome_cadd,0.00720100187852223
0.75,0.1,1.2,exome_cadd,0.0212899185973701
1,0.1,1.2,exome_cadd,0.0472761427676894
0.5,0.1,1.5,exome_cadd,0.112711333750783
0.75,0.1,1.5,exome_cadd,0.247651847213525
1,0.1,1.5,exome_cadd,0.387914840325611
0.5,0.1,1.8,exome_cadd,0.237319974953037
0.75,0.1,1.8,exome_cadd,0.404821540388228
1,0.1,1.8,exome_cadd,0.519724483406387
0.5,0.2,1.2,exome_cadd,0.00751408891671885
0.75,0.2,1.2,exome_cadd,0.0275516593613024
1,0.2,1.2,exome_cadd,0.0601127113337508
0.5,0.2,1.5,exome_cadd,0.116155291170946
0.75,0.2,1.5,exome_cadd,0.256731371321227
1,0.2,1.5,exome_cadd,0.392924232936756
0.5,0.2,1.8,exome_cadd,0.245773324984346
0.75,0.2,1.8,exome_cadd,0.402943018159048
1,0.2,1.8,exome_cadd,0.513775829680651
0.5,0.1,1.2,hrc,0.0347526612398247
0.75,0.1,1.2,hrc,0.0619912335629305
1,0.1,1.2,hrc,0.106136505948654
0.5,0.1,1.5,hrc,0.128365685660614
0.75,0.1,1.5,hrc,0.211646837820914
1,0.1,1.5,hrc,0.289605510331872
0.5,0.1,1.8,hrc,0.203506574827802
0.75,0.1,1.8,hrc,0.274890419536631
1,0.1,1.8,hrc,0.332185347526612
0.5,0.2,1.2,hrc,0.0366311834690044
0.75,0.2,1.2,hrc,0.0695053224796493
1,0.2,1.2,hrc,0.103318722604884
0.5,0.2,1.5,hrc,0.1296180338134
0.75,0.2,1.5,hrc,0.213212273011897
1,0.2,1.5,hrc,0.286787726988103
0.5,0.2,1.8,hrc,0.191609267376331
0.75,0.2,1.8,hrc,0.272698810269255
1,0.2,1.8,hrc,0.327489041953663
0.5,0.1,1.2,hrc_cadd,0.00250469630557295
0.75,0.1,1.2,hrc_cadd,0.00907952410770194
1,0.1,1.2,hrc_cadd,0.0140889167188478
0.5,0.1,1.5,hrc_cadd,0.0288040075140889
0.75,0.1,1.5,hrc_cadd,0.0538509705698184
1,0.1,1.5,hrc_cadd,0.0770194113963682
0.5,0.1,1.8,hrc_cadd,0.0560425798371947
0.75,0.1,1.8,hrc_cadd,0.0713838447088291
1,0.1,1.8,hrc_cadd,0.0923606762680025
0.5,0.2,1.2,hrc_cadd,0.00250469630557295
0.75,0.2,1.2,hrc_cadd,0.00751408891671885
1,0.2,1.2,hrc_cadd,0.0165936130244208
0.5,0.2,1.5,hrc_cadd,0.0291170945522855
0.75,0.2,1.5,hrc_cadd,0.0532247964934252
1,0.2,1.5,hrc_cadd,0.0760801502817783
0.5,0.2,1.8,hrc_cadd,0.0516593613024421
0.75,0.2,1.8,hrc_cadd,0.073888541014402
1,0.2,1.8,hrc_cadd,0.08703819661866
0.5,0.1,1.2,hrc_topmed,0.0488415779586725
0.75,0.1,1.2,hrc_topmed,0.093613024420789
1,0.1,1.2,hrc_topmed,0.163118346900438
0.5,0.1,1.5,hrc_topmed,0.202880400751409
0.75,0.1,1.5,hrc_topmed,0.354101440200376
1,0.1,1.5,hrc_topmed,0.47964934251722
0.5,0.1,1.8,hrc_topmed,0.330619912335629
0.75,0.1,1.8,hrc_topmed,0.468691296180338
1,0.1,1.8,hrc_topmed,0.541327489041954
0.5,0.2,1.2,hrc_topmed,0.0507201001878522
0.75,0.2,1.2,hrc_topmed,0.10551033187226
1,0.2,1.2,hrc_topmed,0.172824045084534
0.5,0.2,1.5,hrc_topmed,0.208515967438948
0.75,0.2,1.5,hrc_topmed,0.356919223544145
1,0.2,1.5,hrc_topmed,0.478083907326237
0.5,0.2,1.8,hrc_topmed,0.328428303068253
0.75,0.2,1.8,hrc_topmed,0.465560425798372
1,0.2,1.8,hrc_topmed,0.538196618659987
0.5,0.1,1.2,hrc_topmed_cadd,0.00657482780212899
0.75,0.1,1.2,hrc_topmed_cadd,0.0153412648716343
1,0.1,1.2,hrc_topmed_cadd,0.0309956167814652
0.5,0.1,1.5,hrc_topmed_cadd,0.0641828428303068
0.75,0.1,1.5,hrc_topmed_cadd,0.115529117094552
1,0.1,1.5,hrc_topmed_cadd,0.17219787100814
0.5,0.1,1.8,hrc_topmed_cadd,0.120851596743895
0.75,0.1,1.8,hrc_topmed_cadd,0.17407639323732
1,0.1,1.8,hrc_topmed_cadd,0.21477770820288
0.5,0.2,1.2,hrc_topmed_cadd,0.00751408891671885
0.75,0.2,1.2,hrc_topmed_cadd,0.0153412648716343
1,0.2,1.2,hrc_topmed_cadd,0.0356919223544145
0.5,0.2,1.5,hrc_topmed_cadd,0.0623043206011271
0.75,0.2,1.5,hrc_topmed_cadd,0.118973074514715
1,0.2,1.5,hrc_topmed_cadd,0.17501565435191
0.5,0.2,1.8,hrc_topmed_cadd,0.110832811521603
0.75,0.2,1.8,hrc_topmed_cadd,0.17125860989355
1,0.2,1.8,hrc_topmed_cadd,0.211020663744521
0.5,0.1,1.2,hrc_topmed_exome,0.0657482780212899
0.75,0.1,1.2,hrc_topmed_exome,0.139010644959299
1,0.1,1.2,hrc_topmed_exome,0.246712586098936
0.5,0.1,1.5,hrc_topmed_exome,0.311834690043832
0.75,0.1,1.5,hrc_topmed_exome,0.551659361302442
1,0.1,1.5,hrc_topmed_exome,0.733562930494677
0.5,0.1,1.8,hrc_topmed_exome,0.493112085159674
0.75,0.1,1.8,hrc_topmed_exome,0.71571696931747
1,0.1,1.8,hrc_topmed_exome,0.820288040075141
0.5,0.2,1.2,hrc_topmed_exome,0.0688791484032561
0.75,0.2,1.2,hrc_topmed_exome,0.161239824671259
1,0.2,1.2,hrc_topmed_exome,0.26299311208516
0.5,0.2,1.5,hrc_topmed_exome,0.318096430807765
0.75,0.2,1.5,hrc_topmed_exome,0.552285535378835
1,0.2,1.5,hrc_topmed_exome,0.726988102692549
0.5,0.2,1.8,hrc_topmed_exome,0.508140262993112
0.75,0.2,1.8,hrc_topmed_exome,0.71947401377583
1,0.2,1.8,hrc_topmed_exome,0.820601127113338
0.5,0.1,1.2,hrc_topmed_exome_cadd,0.00845335
0.75,0.1,1.2,hrc_topmed_exome_cadd,0.024107702
1,0.1,1.2,hrc_topmed_exome_cadd,0.053224796
0.5,0.1,1.5,hrc_topmed_exome_cadd,0.116781465
0.75,0.1,1.5,hrc_topmed_exome_cadd,0.254539762
1,0.1,1.5,hrc_topmed_exome_cadd,0.389036318
0.5,0.1,1.8,hrc_topmed_exome_cadd,0.237006888
0.75,0.1,1.8,hrc_topmed_exome_cadd,0.406438322
1,0.1,1.8,hrc_topmed_exome_cadd,0.52845335
0.5,0.2,1.2,hrc_topmed_exome_cadd,0.00855335
0.75,0.2,1.2,hrc_topmed_exome_cadd,0.029430182
1,0.2,1.2,hrc_topmed_exome_cadd,0.064809017
0.5,0.2,1.5,hrc_topmed_exome_cadd,0.1183469
0.75,0.2,1.5,hrc_topmed_exome_cadd,0.260175329
1,0.2,1.5,hrc_topmed_exome_cadd,0.393863494
0.5,0.2,1.8,hrc_topmed_exome_cadd,0.248581716
0.75,0.2,1.8,hrc_topmed_exome_cadd,0.403812148
1,0.2,1.8,hrc_topmed_exome_cadd,0.514696306
0.5,0.1,1.2,topmed,0.0485284909204759
0.75,0.1,1.2,topmed,0.0892298058860363
1,0.1,1.2,topmed,0.157482780212899
0.5,0.1,1.5,topmed,0.19348778960551
