prev,es,causal_prop,hrc_topmed_exome_power,hrc_topmed_power,hrc_power,topmed_power
0.1,1.2,0.5,0.0658757414923509,0.0474555104589447,0.0365282547611614,0.0462066812363409
0.1,1.2,0.75,0.126756166094287,0.0836715579144552,0.0580705588510771,0.0808616921635966
0.1,1.2,1,0.235716515766469,0.138932251014674,0.0908523259444271,0.129878239150796
0.1,1.5,0.5,0.310958476428348,0.192319700280987,0.130814861067749,0.183265688417109
0.1,1.5,0.75,0.528879175772713,0.328754292850453,0.200437090227911,0.305963159537933
0.1,1.5,1,0.711832656884171,0.455198251639088,0.295348111145801,0.425226350296597
0.1,1.8,0.5,0.491102091788948,0.303777708398377,0.186699968779269,0.282547611614112
0.1,1.8,0.75,0.704027474242897,0.436465813300031,0.279737745863253,0.40649391195754
0.1,1.8,1,0.816734311582891,0.536684358413987,0.341554792382142,0.501092725569778
0.2,1.2,0.5,0.0640024976584452,0.0471433031532938,0.0349672182329066,0.0437090227911333
0.2,1.2,0.75,0.143927567905089,0.0949110209178895,0.0633780830471433,0.0886668748048705
0.2,1.2,1,0.257258819856385,0.149859506712457,0.0970964720574461,0.140181080237278
0.2,1.5,0.5,0.315017171401811,0.187324383390571,0.129878239150796,0.176397127692788
0.2,1.5,0.75,0.543240711832657,0.336247268186076,0.212925382453949,0.311270683733999
0.2,1.5,1,0.718389010302841,0.462066812363409,0.295972525757103,0.430533874492663
0.2,1.8,0.5,0.488292226038089,0.299094598813612,0.191383078364034,0.28192319700281
0.2,1.8,0.75,0.704651888854199,0.442085544801748,0.278488916640649,0.412738058070559
0.2,1.8,1,0.80986575085857,0.532313456134874,0.332812987823915,0.495785201373712
