del_prop,prevlence,es,data,power
0.5,0.1,1.2,exome,0.07051033187
0.75,0.1,1.2,exome,0.13869755792
1,0.1,1.2,exome,0.24796493425
0.5,0.1,1.5,exome,0.34564809017
0.75,0.1,1.5,exome,0.55541640576
1,0.1,1.5,exome,0.72323105823
0.5,0.1,1.8,exome,0.50250469631
0.75,0.1,1.8,exome,0.70194113964
1,0.1,1.8,exome,0.80369442705
0.5,0.2,1.2,exome,0.06167814652
0.75,0.2,1.2,exome,0.16030056356
1,0.2,1.2,exome,0.26768941766
0.5,0.2,1.5,exome,0.35253600501
0.75,0.2,1.5,exome,0.55760801503
1,0.2,1.5,exome,0.71728240451
0.5,0.2,1.8,exome,0.51189730745
0.75,0.2,1.8,exome,0.69787100814
1,0.2,1.8,exome,0.79993738259
0.5,0.1,1.2,exome_cadd,0.01502817783
0.75,0.1,1.2,exome_cadd,0.04226675016
1,0.1,1.2,exome_cadd,0.07889793363
0.5,0.1,1.5,exome_cadd,0.15591734502
0.75,0.1,1.5,exome_cadd,0.29524107702
1,0.1,1.5,exome_cadd,0.43018159048
0.5,0.1,1.8,exome_cadd,0.27207263619
0.75,0.1,1.8,exome_cadd,0.42266750157
1,0.1,1.8,exome_cadd,0.53256105197
0.5,0.2,1.2,exome_cadd,0.01596743895
0.75,0.2,1.2,exome_cadd,0.04852849092
1,0.2,1.2,exome_cadd,0.09517845961
0.5,0.2,1.5,exome_cadd,0.15623043206
0.75,0.2,1.5,exome_cadd,0.30181590482
1,0.2,1.5,exome_cadd,0.43299937383
0.5,0.2,1.8,exome_cadd,0.27989981215
0.75,0.2,1.8,exome_cadd,0.41891045711
1,0.2,1.8,exome_cadd,0.52723857232
0.5,0.1,1.2,hrc_topmed_exome,0.08641202250
0.75,0.1,1.2,hrc_topmed_exome,0.18879148400
1,0.1,1.2,hrc_topmed_exome,0.31778334380
0.5,0.1,1.5,hrc_topmed_exome,0.38572323110
0.75,0.1,1.5,hrc_topmed_exome,0.61271133380
1,0.1,1.5,hrc_topmed_exome,0.79868503440
0.5,0.1,1.8,hrc_topmed_exome,0.55009392610
0.75,0.1,1.8,hrc_topmed_exome,0.77457733250
1,0.1,1.8,hrc_topmed_exome,0.90701314970
0.5,0.2,1.2,hrc_topmed_exome,0.09298685030
0.75,0.2,1.2,hrc_topmed_exome,0.20507201000
1,0.2,1.2,hrc_topmed_exome,0.33343769570
0.5,0.2,1.5,hrc_topmed_exome,0.39073262370
0.75,0.2,1.5,hrc_topmed_exome,0.61928616160
1,0.2,1.5,hrc_topmed_exome,0.79304946780
