del_prop,prevlence,es,data,power
0.5,0.1,1.2,exome,0.040811320754717
0.75,0.1,1.2,exome,0.0709433962264151
1,0.1,1.2,exome,0.110251572327044
0.5,0.1,1.5,exome,0.129559748427673
0.75,0.1,1.5,exome,0.333333333333333
1,0.1,1.5,exome,0.552201257861635
0.5,0.1,1.8,exome,0.333647798742138
0.75,0.1,1.8,exome,0.614779874213837
1,0.1,1.8,exome,0.759748427672956
0.5,0.2,1.2,exome,0.0435849056603774
0.75,0.2,1.2,exome,0.0724276729559749
1,0.2,1.2,exome,0.11188679245283
0.5,0.2,1.5,exome,0.129874213836478
0.75,0.2,1.5,exome,0.335534591194969
1,0.2,1.5,exome,0.554088050314465
0.5,0.2,1.8,exome,0.343710691823899
0.75,0.2,1.8,exome,0.612264150943396
1,0.2,1.8,exome,0.761320754716981
0.5,0.1,1.2,exome_cadd,0.00220125786163522
0.75,0.1,1.2,exome_cadd,0.010062893081761
1,0.1,1.2,exome_cadd,0.020440251572327
0.5,0.1,1.5,exome_cadd,0.0380503144654088
0.75,0.1,1.5,exome_cadd,0.124213836477987
1,0.1,1.5,exome_cadd,0.256289308176101
0.5,0.1,1.8,exome_cadd,0.132704402515723
0.75,0.1,1.8,exome_cadd,0.312893081761006
1,0.1,1.8,exome_cadd,0.457232704402516
0.5,0.2,1.2,exome_cadd,0.00377358490566038
0.75,0.2,1.2,exome_cadd,0.00817610062893082
1,0.2,1.2,exome_cadd,0.0216981132075472
0.5,0.2,1.5,exome_cadd,0.039937106918239
0.75,0.2,1.5,exome_cadd,0.132075471698113
1,0.2,1.5,exome_cadd,0.255660377358491
0.5,0.2,1.8,exome_cadd,0.145283018867925
0.75,0.2,1.8,exome_cadd,0.316981132075472
1,0.2,1.8,exome_cadd,0.457547169811321
0.5,0.1,1.2,hrc,0.0289308176100629
0.75,0.1,1.2,hrc,0.0433962264150943
1,0.1,1.2,hrc,0.0537735849056604
0.5,0.1,1.5,hrc,0.039937106918239
0.75,0.1,1.5,hrc,0.0619496855345912
1,0.1,1.5,hrc,0.0940251572327044
0.5,0.1,1.8,hrc,0.0562893081761006
0.75,0.1,1.8,hrc,0.089937106918239
1,0.1,1.8,hrc,0.127044025157233
0.5,0.2,1.2,hrc,0.0283018867924528
0.75,0.2,1.2,hrc,0.0421383647798742
1,0.2,1.2,hrc,0.0547169811320755
0.5,0.2,1.5,hrc,0.0408805031446541
0.75,0.2,1.5,hrc,0.0650943396226415
1,0.2,1.5,hrc,0.0915094339622642
0.5,0.2,1.8,hrc,0.060377358490566
0.75,0.2,1.8,hrc,0.0871069182389937
1,0.2,1.8,hrc,0.122641509433962
0.5,0.1,1.2,hrc_cadd,0.00125786163522013
0.75,0.1,1.2,hrc_cadd,0.00220125786163522
1,0.1,1.2,hrc_cadd,0.00251572327044025
0.5,0.1,1.5,hrc_cadd,0.00283018867924528
0.75,0.1,1.5,hrc_cadd,0.00566037735849057
1,0.1,1.5,hrc_cadd,0.00911949685534591
0.5,0.1,1.8,hrc_cadd,0.00471698113207547
0.75,0.1,1.8,hrc_cadd,0.0116352201257862
1,0.1,1.8,hrc_cadd,0.0154088050314465
0.5,0.2,1.2,hrc_cadd,0.00125786163522013
0.75,0.2,1.2,hrc_cadd,0.00188679245283019
1,0.2,1.2,hrc_cadd,0.00283018867924528
0.5,0.2,1.5,hrc_cadd,0.00345911949685535
0.75,0.2,1.5,hrc_cadd,0.00691823899371069
1,0.2,1.5,hrc_cadd,0.00849056603773585
