del_prop,prevlence,es,data,power
1,0.1,1.8,hrc_cadd,0.0757861635220126
0.5,0.2,1.2,hrc_cadd,0.00345911949685535
0.75,0.2,1.2,hrc_cadd,0.00754716981132076
1,0.2,1.2,hrc_cadd,0.0125786163522013
0.5,0.2,1.5,hrc_cadd,0.0276729559748428
0.75,0.2,1.5,hrc_cadd,0.0468553459119497
1,0.2,1.5,hrc_cadd,0.0625786163522013
0.5,0.2,1.8,hrc_cadd,0.040251572327044
0.75,0.2,1.8,hrc_cadd,0.0647798742138365
1,0.2,1.8,hrc_cadd,0.0742138364779874
0.5,0.1,1.2,hrc_topmed,0.0452830188679245
0.75,0.1,1.2,hrc_topmed,0.0842767295597484
1,0.1,1.2,hrc_topmed,0.140566037735849
0.5,0.1,1.5,hrc_topmed,0.171383647798742
0.75,0.1,1.5,hrc_topmed,0.297798742138365
1,0.1,1.5,hrc_topmed,0.40251572327044
0.5,0.1,1.8,hrc_topmed,0.263207547169811
0.75,0.1,1.8,hrc_topmed,0.385534591194969
1,0.1,1.8,hrc_topmed,0.455660377358491
0.5,0.2,1.2,hrc_topmed,0.0484276729559749
0.75,0.2,1.2,hrc_topmed,0.0924528301886792
1,0.2,1.2,hrc_topmed,0.143396226415094
0.5,0.2,1.5,hrc_topmed,0.171069182389937
0.75,0.2,1.5,hrc_topmed,0.297169811320755
1,0.2,1.5,hrc_topmed,0.40314465408805
0.5,0.2,1.8,hrc_topmed,0.261320754716981
0.75,0.2,1.8,hrc_topmed,0.385220125786164
1,0.2,1.8,hrc_topmed,0.452830188679245
0.5,0.1,1.2,hrc_topmed_cadd,0.00440251572327044
0.75,0.1,1.2,hrc_topmed_cadd,0.0119496855345912
1,0.1,1.2,hrc_topmed_cadd,0.0229559748427673
0.5,0.1,1.5,hrc_topmed_cadd,0.0559748427672956
0.75,0.1,1.5,hrc_topmed_cadd,0.089622641509434
1,0.1,1.5,hrc_topmed_cadd,0.138679245283019
0.5,0.1,1.8,hrc_topmed_cadd,0.0849056603773585
0.75,0.1,1.8,hrc_topmed_cadd,0.135849056603774
1,0.1,1.8,hrc_topmed_cadd,0.163836477987421
0.5,0.2,1.2,hrc_topmed_cadd,0.0050314465408805
0.75,0.2,1.2,hrc_topmed_cadd,0.0141509433962264
1,0.2,1.2,hrc_topmed_cadd,0.0223270440251572
0.5,0.2,1.5,hrc_topmed_cadd,0.0537735849056604
0.75,0.2,1.5,hrc_topmed_cadd,0.0959119496855346
1,0.2,1.5,hrc_topmed_cadd,0.138364779874214
0.5,0.2,1.8,hrc_topmed_cadd,0.0880503144654088
0.75,0.2,1.8,hrc_topmed_cadd,0.133962264150943
1,0.2,1.8,hrc_topmed_cadd,0.164150943396226
0.5,0.1,1.2,hrc_topmed_exome,0.0625786163522013
0.75,0.1,1.2,hrc_topmed_exome,0.140566037735849
1,0.1,1.2,hrc_topmed_exome,0.235534591194969
0.5,0.1,1.5,hrc_topmed_exome,0.291509433962264
0.75,0.1,1.5,hrc_topmed_exome,0.537735849056604
1,0.1,1.5,hrc_topmed_exome,0.716666666666667
0.5,0.1,1.8,hrc_topmed_exome,0.489622641509434
0.75,0.1,1.8,hrc_topmed_exome,0.705974842767296
1,0.1,1.8,hrc_topmed_exome,0.816666666666667
0.5,0.2,1.2,hrc_topmed_exome,0.0672955974842767
0.75,0.2,1.2,hrc_topmed_exome,0.14496855345912
1,0.2,1.2,hrc_topmed_exome,0.241194968553459
0.5,0.2,1.5,hrc_topmed_exome,0.300943396226415
0.75,0.2,1.5,hrc_topmed_exome,0.527987421383648
1,0.2,1.5,hrc_topmed_exome,0.713836477987421
0.5,0.2,1.8,hrc_topmed_exome,0.492138364779874
0.75,0.2,1.8,hrc_topmed_exome,0.712264150943396
1,0.2,1.8,hrc_topmed_exome,0.817295597484277
0.5,0.1,1.2,hrc_topmed_exome_cadd,0.00628930817610063
0.75,0.1,1.2,hrc_topmed_exome_cadd,0.0261006289308176
1,0.1,1.2,hrc_topmed_exome_cadd,0.0484276729559749
0.5,0.1,1.5,hrc_topmed_exome_cadd,0.119182389937107
0.75,0.1,1.5,hrc_topmed_exome_cadd,0.243710691823899
1,0.1,1.5,hrc_topmed_exome_cadd,0.382704402515723
0.5,0.1,1.8,hrc_topmed_exome_cadd,0.235849056603774
0.75,0.1,1.8,hrc_topmed_exome_cadd,0.406603773584906
1,0.1,1.8,hrc_topmed_exome_cadd,0.515094339622642
0.5,0.2,1.2,hrc_topmed_exome_cadd,0.00880503144654088
0.75,0.2,1.2,hrc_topmed_exome_cadd,0.0273584905660377
1,0.2,1.2,hrc_topmed_exome_cadd,0.059433962264151
0.5,0.2,1.5,hrc_topmed_exome_cadd,0.116037735849057
0.75,0.2,1.5,hrc_topmed_exome_cadd,0.258805031446541
1,0.2,1.5,hrc_topmed_exome_cadd,0.386163522012579
0.5,0.2,1.8,hrc_topmed_exome_cadd,0.238679245283019
0.75,0.2,1.8,hrc_topmed_exome_cadd,0.404716981132076
1,0.2,1.8,hrc_topmed_exome_cadd,0.510062893081761
0.5,0.1,1.2,topmed,0.0446540880503145
0.75,0.1,1.2,topmed,0.0820754716981132
1,0.1,1.2,topmed,0.133962264150943
0.5,0.1,1.5,topmed,0.156918238993711
0.75,0.1,1.5,topmed,0.272955974842767
1,0.1,1.5,topmed,0.372955974842767
0.5,0.1,1.8,topmed,0.246540880503145
0.75,0.1,1.8,topmed,0.364779874213836
1,0.1,1.8,topmed,0.429874213836478
0.5,0.2,1.2,topmed,0.0487421383647799
0.75,0.2,1.2,topmed,0.0893081761006289
1,0.2,1.2,topmed,0.133647798742138
0.5,0.2,1.5,topmed,0.156289308176101
0.75,0.2,1.5,topmed,0.272327044025157
1,0.2,1.5,topmed,0.372641509433962
0.5,0.2,1.8,topmed,0.24496855345912
0.75,0.2,1.8,topmed,0.357861635220126
1,0.2,1.8,topmed,0.426415094339623
0.5,0.1,1.2,topmed_cadd,0.00471698113207547
0.75,0.1,1.2,topmed_cadd,0.010062893081761
1,0.1,1.2,topmed_cadd,0.020440251572327
0.5,0.1,1.5,topmed_cadd,0.0481132075471698
0.75,0.1,1.5,topmed_cadd,0.0726415094339623
1,0.1,1.5,topmed_cadd,0.113207547169811
0.5,0.1,1.8,topmed_cadd,0.0707547169811321
0.75,0.1,1.8,topmed_cadd,0.112578616352201
1,0.1,1.8,topmed_cadd,0.136163522012579
0.5,0.2,1.2,topmed_cadd,0.00566037735849057
0.75,0.2,1.2,topmed_cadd,0.0144654088050314
1,0.2,1.2,topmed_cadd,0.0191823899371069
0.5,0.2,1.5,topmed_cadd,0.0465408805031447
0.75,0.2,1.5,topmed_cadd,0.0761006289308176
1,0.2,1.5,topmed_cadd,0.112264150943396
0.5,0.2,1.8,topmed_cadd,0.0723270440251572
0.75,0.2,1.8,topmed_cadd,0.109119496855346
1,0.2,1.8,topmed_cadd,0.129559748427673
