del_prop,prevlence,es,data,power
0.5,0.1,1.2,exome,0.0442767295597484
0.75,0.1,1.2,exome,0.0930817610062893
1,0.1,1.2,exome,0.179245283018868
0.5,0.1,1.5,exome,0.265723270440252
0.75,0.1,1.5,exome,0.510377358490566
1,0.1,1.5,exome,0.688364779874214
0.5,0.1,1.8,exome,0.470125786163522
0.75,0.1,1.8,exome,0.690566037735849
1,0.1,1.8,exome,0.799685534591195
0.5,0.2,1.2,exome,0.0474213836477987
0.75,0.2,1.2,exome,0.0993710691823899
1,0.2,1.2,exome,0.188364779874214
0.5,0.2,1.5,exome,0.273270440251572
0.75,0.2,1.5,exome,0.498427672955975
1,0.2,1.5,exome,0.682075471698113
0.5,0.2,1.8,exome,0.475157232704403
0.75,0.2,1.8,exome,0.695283018867925
1,0.2,1.8,exome,0.80251572327044
0.5,0.1,1.2,exome_cadd,0.0059748427672956
0.75,0.1,1.2,exome_cadd,0.0238993710691824
1,0.1,1.2,exome_cadd,0.0452830188679245
0.5,0.1,1.5,exome_cadd,0.112264150943396
0.75,0.1,1.5,exome_cadd,0.234905660377359
1,0.1,1.5,exome_cadd,0.375471698113208
0.5,0.1,1.8,exome_cadd,0.228616352201258
0.75,0.1,1.8,exome_cadd,0.397798742138365
1,0.1,1.8,exome_cadd,0.509748427672956
0.5,0.2,1.2,exome_cadd,0.00849056603773585
0.75,0.2,1.2,exome_cadd,0.0248427672955975
1,0.2,1.2,exome_cadd,0.0537735849056604
0.5,0.2,1.5,exome_cadd,0.109748427672956
0.75,0.2,1.5,exome_cadd,0.25062893081761
1,0.2,1.5,exome_cadd,0.375471698113208
0.5,0.2,1.8,exome_cadd,0.231132075471698
0.75,0.2,1.8,exome_cadd,0.39811320754717
1,0.2,1.8,exome_cadd,0.505974842767296
0.5,0.1,1.2,hrc,0.0367924528301887
0.75,0.1,1.2,hrc,0.060377358490566
1,0.1,1.2,hrc,0.0927672955974843
0.5,0.1,1.5,hrc,0.113836477987421
0.75,0.1,1.5,hrc,0.178301886792453
1,0.1,1.5,hrc,0.246540880503145
0.5,0.1,1.8,hrc,0.157232704402516
0.75,0.1,1.8,hrc,0.222955974842767
1,0.1,1.8,hrc,0.279245283018868
0.5,0.2,1.2,hrc,0.0371069182389937
0.75,0.2,1.2,hrc,0.0625786163522013
1,0.2,1.2,hrc,0.0918238993710692
0.5,0.2,1.5,hrc,0.110691823899371
0.75,0.2,1.5,hrc,0.174842767295597
1,0.2,1.5,hrc,0.24496855345912
0.5,0.2,1.8,hrc,0.154088050314465
0.75,0.2,1.8,hrc,0.223584905660377
1,0.2,1.8,hrc,0.275157232704403
0.5,0.1,1.2,hrc_cadd,0.00283018867924528
0.75,0.1,1.2,hrc_cadd,0.0059748427672956
1,0.1,1.2,hrc_cadd,0.0132075471698113
0.5,0.1,1.5,hrc_cadd,0.0251572327044025
0.75,0.1,1.5,hrc_cadd,0.0493710691823899
1,0.1,1.5,hrc_cadd,0.0672955974842767
0.5,0.1,1.8,hrc_cadd,0.0421383647798742
0.75,0.1,1.8,hrc_cadd,0.0660377358490566
