condition,prevlence,data,pvals
"0,0,1.2",0.1,hrc,0.164540018514201
"0,0,1.2",0.1,hrc,0.774614150170996
"0,0,1.2",0.1,hrc,0.563430200629617
"0,0,1.2",0.1,hrc,0.506163296659323
"0,0,1.2",0.1,hrc,0.630621588266654
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.398415410928527
"0,0,1.2",0.1,hrc,0.870038637072205
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.202819433529378
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.802354920325726
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.391096594487734
"0,0,1.2",0.1,hrc,0.921486403690741
"0,0,1.2",0.1,hrc,0.772086286443968
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.558176691167845
"0,0,1.2",0.1,hrc,0.540547057949774
"0,0,1.2",0.1,hrc,0.35188603255876
"0,0,1.2",0.1,hrc,0.664473523549549
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.469445505578229
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.482185644630561
"0,0,1.2",0.1,hrc,0.354033590616646
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.587104938685182
"0,0,1.2",0.1,hrc,0.93838136863289
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.502628009523423
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.983512066479741
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.282119934871909
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.745454718855058
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.9164679530291
"0,0,1.2",0.1,hrc,0.16641974396933
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.338656469669373
"0,0,1.2",0.1,hrc,0.252179632054879
"0,0,1.2",0.1,hrc,0.990463683737709
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.450859521848416
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.24831264088926
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.28273108156197
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.0426027654836474
"0,0,1.2",0.1,hrc,0.206286307311653
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.122620929899109
"0,0,1.2",0.1,hrc,0.734946174911724
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.0546063811224705
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.574277644515312
"0,0,1.2",0.1,hrc,0.989490332977865
"0,0,1.2",0.1,hrc,0.942033990582746
"0,0,1.2",0.1,hrc,0.173088019021609
"0,0,1.2",0.1,hrc,0.0378049151719202
"0,0,1.2",0.1,hrc,0.980718566955351
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.316544947931225
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.980417177988352
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.539668782002321
"0,0,1.2",0.1,hrc,0.346606467242748
"0,0,1.2",0.1,hrc,0.122335882374875
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.295303612963558
"0,0,1.2",0.1,hrc,0.960388913072599
"0,0,1.2",0.1,hrc,0.769216378472029
"0,0,1.2",0.1,hrc,0.242732192432461
"0,0,1.2",0.1,hrc,0.96917419740763
"0,0,1.2",0.1,hrc,0.675220564427677
"0,0,1.2",0.1,hrc,0.874330425474284
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.534768216167512
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.649535150969196
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.310786647013679
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.244432583402392
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.546364285776479
"0,0,1.2",0.1,hrc,0.594821312210256
"0,0,1.2",0.1,hrc,0.426076569614779
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.314428878823989
"0,0,1.2",0.1,hrc,0.245109307762721
"0,0,1.2",0.1,hrc,0.326783557534765
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.771380168154768
