prev,es,causal_prop,hrc_topmed_exome_power,hrc_topmed_power,hrc_power,topmed_power
0.1,1.2,0.5,0.0531279471864194,0.0408676516818611,0.0301791889342974,0.0402389185790632
0.1,1.2,0.75,0.0861364350833071,0.059415278214398,0.0405532851304621,0.0591009116629991
0.1,1.2,1,0.149009745363093,0.0886513674944986,0.0569003458032065,0.0851933354291104
0.1,1.5,0.5,0.171958503615215,0.0804778371581264,0.045583149952845,0.0735617730273499
0.1,1.5,0.75,0.370952530650739,0.146180446400503,0.0738761395787488,0.12951901917636
0.1,1.5,1,0.580320653882427,0.241747878025778,0.107827727129833,0.208110657026092
0.1,1.8,0.5,0.360264067903175,0.138950015718328,0.0657026092423766,0.121974221942785
0.1,1.8,0.75,0.624960704181075,0.250235774913549,0.116629990569003,0.21471235460547
0.1,1.8,1,0.749449858535052,0.342030807922037,0.150267211568689,0.294875825212197
0.2,1.2,0.5,0.0518704809808236,0.0402389185790632,0.0279786230745049,0.0389814523734675
0.2,1.2,0.75,0.0961961647280729,0.0660169757937755,0.0446400502986482,0.0625589437283873
0.2,1.2,1,0.160955674316253,0.09116629990569,0.0572147123546055,0.0870795347375039
0.2,1.5,0.5,0.17353033637221,0.08236403646652,0.0471549827098397,0.0760767054385413
0.2,1.5,0.75,0.381012260295505,0.145866079849104,0.0748192392329456,0.129833385727759
0.2,1.5,1,0.595410248349576,0.234203080792204,0.106570260924238,0.206224457717699
0.2,1.8,0.5,0.348003772398617,0.132662684690349,0.0606727444199937,0.1175730902232
0.2,1.8,0.75,0.622131405218485,0.250864508016347,0.107513360578434,0.215026721156869
0.2,1.8,1,0.750392958189249,0.340144608613644,0.153410877082678,0.292046526249607
