del_prop,prevlence,es,data,power
0.75,0.2,1.8,hrc_topmed,0.448427672955975
1,0.2,1.8,hrc_topmed,0.522641509433962
0.5,0.1,1.2,hrc_topmed_cadd,0.00880503144654088
0.75,0.1,1.2,hrc_topmed_cadd,0.0273584905660377
1,0.1,1.2,hrc_topmed_cadd,0.0477987421383648
0.5,0.1,1.5,hrc_topmed_cadd,0.0908805031446541
0.75,0.1,1.5,hrc_topmed_cadd,0.139622641509434
1,0.1,1.5,hrc_topmed_cadd,0.19937106918239
0.5,0.1,1.8,hrc_topmed_cadd,0.122012578616352
0.75,0.1,1.8,hrc_topmed_cadd,0.186477987421384
1,0.1,1.8,hrc_topmed_cadd,0.221698113207547
0.5,0.2,1.2,hrc_topmed_cadd,0.00911949685534591
0.75,0.2,1.2,hrc_topmed_cadd,0.0273584905660377
1,0.2,1.2,hrc_topmed_cadd,0.0531446540880503
0.5,0.2,1.5,hrc_topmed_cadd,0.0905660377358491
0.75,0.2,1.5,hrc_topmed_cadd,0.14937106918239
1,0.2,1.5,hrc_topmed_cadd,0.19559748427673
0.5,0.2,1.8,hrc_topmed_cadd,0.123899371069182
0.75,0.2,1.8,hrc_topmed_cadd,0.179559748427673
1,0.2,1.8,hrc_topmed_cadd,0.217924528301887
0.5,0.1,1.2,hrc_topmed_exome,0.0833333333333333
0.75,0.1,1.2,hrc_topmed_exome,0.188993710691824
1,0.1,1.2,hrc_topmed_exome,0.308490566037736
0.5,0.1,1.5,hrc_topmed_exome,0.367610062893082
0.75,0.1,1.5,hrc_topmed_exome,0.606603773584906
1,0.1,1.5,hrc_topmed_exome,0.784905660377359
0.5,0.1,1.8,hrc_topmed_exome,0.54433962264151
0.75,0.1,1.8,hrc_topmed_exome,0.773584905660377
1,0.1,1.8,hrc_topmed_exome,0.905974842767296
0.5,0.2,1.2,hrc_topmed_exome,0.090251572327044
0.75,0.2,1.2,hrc_topmed_exome,0.19685534591195
1,0.2,1.2,hrc_topmed_exome,0.315094339622642
0.5,0.2,1.5,hrc_topmed_exome,0.370440251572327
0.75,0.2,1.5,hrc_topmed_exome,0.596540880503145
1,0.2,1.5,hrc_topmed_exome,0.784591194968554
0.5,0.2,1.8,hrc_topmed_exome,0.547798742138365
0.75,0.2,1.8,hrc_topmed_exome,0.783333333333333
1,0.2,1.8,hrc_topmed_exome,0.907861635220126
0.5,0.1,1.2,hrc_topmed_exome_cadd,0.0125786163522013
0.75,0.1,1.2,hrc_topmed_exome_cadd,0.0468553459119497
1,0.1,1.2,hrc_topmed_exome_cadd,0.0839622641509434
0.5,0.1,1.5,hrc_topmed_exome_cadd,0.164465408805031
0.75,0.1,1.5,hrc_topmed_exome_cadd,0.292767295597484
1,0.1,1.5,hrc_topmed_exome_cadd,0.430188679245283
0.5,0.1,1.8,hrc_topmed_exome_cadd,0.265408805031447
0.75,0.1,1.8,hrc_topmed_exome_cadd,0.436792452830189
1,0.1,1.8,hrc_topmed_exome_cadd,0.547169811320755
0.5,0.2,1.2,hrc_topmed_exome_cadd,0.0166666666666667
0.75,0.2,1.2,hrc_topmed_exome_cadd,0.0493710691823899
