condition,prevlence,data,pvals
"0,0,1.2",0.1,exome_cadd,0.858715430861923
"0,0,1.2",0.1,exome_cadd,0.428416596163941
"0,0,1.2",0.1,exome_cadd,0.416729120741863
"0,0,1.2",0.1,exome_cadd,0.212010821361908
"0,0,1.2",0.1,exome_cadd,0.0701744448238808
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.775593359803473
"0,0,1.2",0.1,exome_cadd,0.717723034011241
"0,0,1.2",0.1,exome_cadd,0.705303194197554
"0,0,1.2",0.1,exome_cadd,0.457006332890603
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.902586994635571
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.866690062142445
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.73490546491808
"0,0,1.2",0.1,exome_cadd,0.368912385709341
"0,0,1.2",0.1,exome_cadd,0.346463892835472
"0,0,1.2",0.1,exome_cadd,0.76731641461555
"0,0,1.2",0.1,exome_cadd,0.724023340927939
"0,0,1.2",0.1,exome_cadd,0.758187200988569
"0,0,1.2",0.1,exome_cadd,0.908255133670471
"0,0,1.2",0.1,exome_cadd,0.305762704823504
"0,0,1.2",0.1,exome_cadd,0.63465512978845
"0,0,1.2",0.1,exome_cadd,0.875710038188025
"0,0,1.2",0.1,exome_cadd,0.209489471214701
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.0283336134966508
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.69242206003781
"0,0,1.2",0.1,exome_cadd,0.60766311690985
"0,0,1.2",0.1,exome_cadd,0.679571194176655
"0,0,1.2",0.1,exome_cadd,0.150691296234901
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.64058300613571
"0,0,1.2",0.1,exome_cadd,0.506413250508888
"0,0,1.2",0.1,exome_cadd,0.866798970379066
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.709439415292539
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.544207966044349
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.784112927046868
"0,0,1.2",0.1,exome_cadd,0.879433489117321
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.207764674036074
"0,0,1.2",0.1,exome_cadd,0.0409880570731835
"0,0,1.2",0.1,exome_cadd,0.544534733181526
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.793446368777279
"0,0,1.2",0.1,exome_cadd,0.888424355728447
"0,0,1.2",0.1,exome_cadd,0.751285258168257
"0,0,1.2",0.1,exome_cadd,0.873242237757071
"0,0,1.2",0.1,exome_cadd,0.476184865045627
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.490648096388118
"0,0,1.2",0.1,exome_cadd,0.665212560824914
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.644945281243851
"0,0,1.2",0.1,exome_cadd,0.471364828087266
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.15413355218249
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.70652954129113
"0,0,1.2",0.1,exome_cadd,0.956921317436302
"0,0,1.2",0.1,exome_cadd,0.507235946441553
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.417834817722926
"0,0,1.2",0.1,exome_cadd,0.77315076904252
"0,0,1.2",0.1,exome_cadd,0.355559102984388
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.498892187668474
"0,0,1.2",0.1,exome_cadd,0.964235890394698
"0,0,1.2",0.1,exome_cadd,0.157951336004005
"0,0,1.2",0.1,exome_cadd,0.510451288311976
"0,0,1.2",0.1,exome_cadd,0.309886329188426
"0,0,1.2",0.1,exome_cadd,0.779605147658759
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.710526537444194
"0,0,1.2",0.1,exome_cadd,0.267631990487974
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.458878551849998
"0,0,1.2",0.1,exome_cadd,0.0333780307597829
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.362088781562463
"0,0,1.2",0.1,exome_cadd,0.934595590630086
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.30039417074155
"0,0,1.2",0.1,exome_cadd,0.243719993636231
"0,0,1.2",0.1,exome_cadd,0.621850970263362
"0,0,1.2",0.1,exome_cadd,0.343293125897598
"0,0,1.2",0.1,exome_cadd,0.209506087905373
"0,0,1.2",0.1,exome_cadd,0.108408058895167
"0,0,1.2",0.1,exome_cadd,0.515974717082136
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.652668700665866
"0,0,1.2",0.1,exome_cadd,0.705612241816231
"0,0,1.2",0.1,exome_cadd,0.316144820659385
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.732206544396992
"0,0,1.2",0.1,exome_cadd,0.176977862962631
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.502165958333331
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.358431238982742
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,1
"0,0,1.2",0.1,exome_cadd,0.316275349387654
"0,0,1.2",0.1,exome_cadd,0.844080013888163
