del_prop,prevlence,es,data,power
0.5,0.1,1.2,exome,0.0484815278647464
0.75,0.1,1.2,exome,0.0805710707576706
1,0.1,1.2,exome,0.108891671884784
0.5,0.1,1.5,exome,0.134001252348153
0.75,0.1,1.5,exome,0.341264871634314
1,0.1,1.5,exome,0.548528490920476
0.5,0.1,1.8,exome,0.324671258609894
0.75,0.1,1.8,exome,0.604884157795867
1,0.1,1.8,exome,0.755792110206637
0.5,0.2,1.2,exome,0.0493600500939261
0.75,0.2,1.2,exome,0.082668753913588
1,0.2,1.2,exome,0.109893550407013
0.5,0.2,1.5,exome,0.136819035691922
0.75,0.2,1.5,exome,0.349718221665623
1,0.2,1.5,exome,0.557294927989981
0.5,0.2,1.8,exome,0.339073262366938
0.75,0.2,1.8,exome,0.602066374452098
1,0.2,1.8,exome,0.753287413901064
0.5,0.1,1.2,exome_cadd,0.00375704445835942
0.75,0.1,1.2,exome_cadd,0.00907952410770194
1,0.1,1.2,exome_cadd,0.0181590482154039
0.5,0.1,1.5,exome_cadd,0.0422667501565435
0.75,0.1,1.5,exome_cadd,0.131809643080776
1,0.1,1.5,exome_cadd,0.26393237319975
0.5,0.1,1.8,exome_cadd,0.13149655604258
0.75,0.1,1.8,exome_cadd,0.319974953036944
1,0.1,1.8,exome_cadd,0.464308077645586
0.5,0.2,1.2,exome_cadd,0.00313087038196619
0.75,0.2,1.2,exome_cadd,0.0109580463368817
1,0.2,1.2,exome_cadd,0.0231684408265498
0.5,0.2,1.5,exome_cadd,0.0472761427676894
0.75,0.2,1.5,exome_cadd,0.147463994990607
1,0.2,1.5,exome_cadd,0.276768941765811
0.5,0.2,1.8,exome_cadd,0.141202254226675
0.75,0.2,1.8,exome_cadd,0.318722604884158
1,0.2,1.8,exome_cadd,0.461490294301816
0.5,0.1,1.2,hrc,0.0300563556668754
0.75,0.1,1.2,hrc,0.0441452723857232
1,0.1,1.2,hrc,0.060738885410144
0.5,0.1,1.5,hrc,0.0488415779586725
0.75,0.1,1.5,hrc,0.0814026299311209
1,0.1,1.5,hrc,0.120538509705698
0.5,0.1,1.8,hrc,0.0720100187852223
0.75,0.1,1.8,hrc,0.118659987476518
1,0.1,1.8,hrc,0.177520350657483
0.5,0.2,1.2,hrc,0.0300563556668754
0.75,0.2,1.2,hrc,0.0466499686912962
1,0.2,1.2,hrc,0.0629304946775204
0.5,0.2,1.5,hrc,0.0485284909204759
0.75,0.2,1.5,hrc,0.0832811521603006
1,0.2,1.5,hrc,0.120225422667502
0.5,0.2,1.8,hrc,0.0757670632435817
0.75,0.2,1.8,hrc,0.120538509705698
1,0.2,1.8,hrc,0.170319348778961
0.5,0.1,1.2,hrc_cadd,0.000939261114589856
0.75,0.1,1.2,hrc_cadd,0.00156543519098309
1,0.1,1.2,hrc_cadd,0.00313087038196619
0.5,0.1,1.5,hrc_cadd,0.0050093926111459
0.75,0.1,1.5,hrc_cadd,0.00814026299311209
1,0.1,1.5,hrc_cadd,0.0156543519098309
0.5,0.1,1.8,hrc_cadd,0.0103318722604884
0.75,0.1,1.8,hrc_cadd,0.0159674389480276
1,0.1,1.8,hrc_cadd,0.0219160926737633
0.5,0.2,1.2,hrc_cadd,0.000626174076393237
0.75,0.2,1.2,hrc_cadd,0.00125234815278647
1,0.2,1.2,hrc_cadd,0.00375704445835942
0.5,0.2,1.5,hrc_cadd,0.00563556668753914
0.75,0.2,1.5,hrc_cadd,0.00782717595491547
1,0.2,1.5,hrc_cadd,0.013149655604258
0.5,0.2,1.8,hrc_cadd,0.00907952410770194
0.75,0.2,1.8,hrc_cadd,0.0144020037570445
1,0.2,1.8,hrc_cadd,0.0203506574827802
0.5,0.1,1.2,hrc_topmed,0.0428929242329368
0.75,0.1,1.2,hrc_topmed,0.0666875391358798
1,0.1,1.2,hrc_topmed,0.100187852222918
0.5,0.1,1.5,hrc_topmed,0.0904821540388228
0.75,0.1,1.5,hrc_topmed,0.186912961803381
1,0.1,1.5,hrc_topmed,0.28522229179712
0.5,0.1,1.8,hrc_topmed,0.167188478396994
0.75,0.1,1.8,hrc_topmed,0.304320601127113
1,0.1,1.8,hrc_topmed,0.401690670006262
0.5,0.2,1.2,hrc_topmed,0.04351909830933
0.75,0.2,1.2,hrc_topmed,0.0704445835942392
1,0.2,1.2,hrc_topmed,0.105823418910457
0.5,0.2,1.5,hrc_topmed,0.0939261114589856
0.75,0.2,1.5,hrc_topmed,0.191296180338134
1,0.2,1.5,hrc_topmed,0.295241077019411
0.5,0.2,1.8,hrc_topmed,0.173763306199123
0.75,0.2,1.8,hrc_topmed,0.302128991859737
